# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	32367
#@/user_id	Mac
a 	啊	c=393 d=1.26882 t=31923
xin ku dian 	辛苦点	c=1 d=1 t=9491
xin ku yi dian 	辛苦一点	c=1 d=1 t=31744
xin kua 	信垮	c=1 d=1 t=30526
xin lei 	心累	c=1 d=1 t=15999
xin li 	心理	c=8 d=1.86071 t=32316
xin li wen ti 	心理问题	c=1 d=1 t=800
xin li yin ying 	心理阴影	c=1 d=1 t=15447
xin mu 	心目	c=0 d=0.1 t=4915
xin mu zhong 	心目中	c=2 d=1 t=9450
xin qing 	心情	c=4 d=1 t=22777
xin ren 	信任	c=2 d=1.09277 t=20117
xin ren ren 	信任人	c=1 d=1 t=20103
xin shang 	心上	c=1 d=1 t=9174
xin shang 	欣赏	c=1 d=1 t=10461
xin si 	心思	c=7 d=1 t=31495
xin tai 	心态	c=1 d=1.00003 t=7753
xin tai hao 	心态好	c=1 d=1 t=6108
xin tai lei 	心太累	c=1 d=1 t=3078
xin teng 	心疼	c=1 d=1 t=31310
xin wen 	新闻	c=1 d=1 t=10113
xin wo 	信我	c=1 d=1 t=2930
xin xi 	信息	c=7 d=1 t=29982
xin xian 	新鲜	c=1 d=1 t=8577
xin xiang shi cheng 	心想事成	c=2 d=1 t=19747
xin xin ku ku 	辛辛苦苦	c=1 d=0.1 t=22159
xin xu 	心虚	c=0 d=0.1 t=452
xin xu de 	心虚的	c=1 d=1 t=453
xin yan 	心眼	c=2 d=1 t=13389
xin yuan 	心愿	c=1 d=1 t=8388
xin zang bing 	心脏病	c=1 d=1 t=15990
xin zhong 	心中	c=0 d=0.1 t=26993
xin zhong de 	心中的	c=1 d=1 t=26994
xing 	兴	c=1 d=1 t=26163
xing 	型	c=1 d=1 t=9123
xing 	幸	c=1 d=1 t=11123
xing 	性	c=1 d=0.533874 t=15482
xing 	星	c=1 d=1 t=12721
xing 	腥	c=1 d=1 t=21027
xing 	行	c=8 d=1.30384 t=30907
xing 	醒	c=1 d=0.1 t=24353
xing bu 	行不	c=1 d=1 t=30132
xing bu guo lai le 	醒不过来了	c=1 d=1 t=24354
xing cheng 	形成	c=2 d=0.631284 t=32367
xing dong 	行动	c=1 d=1 t=24938
xing fa 	刑法	c=1 d=1 t=27249
xing fen 	兴奋	c=1 d=1 t=12688
xing fu 	幸福	c=8 d=0.718988 t=24979
xing fu de 	幸福的	c=1 d=1 t=23739
xing fu le 	幸福了	c=3 d=1 t=25113
xing fu ya 	幸福呀	c=2 d=1.96561 t=24987
xing ge 	性格	c=14 d=1 t=31937
xing ge de 	性格的	c=1 d=1 t=10768
xing le 	行了	c=1 d=1 t=8737
xing qu 	兴趣	c=3 d=1.95123 t=24695
xing shi 	形式	c=2 d=0.634448 t=32367
xing wei 	行为	c=2 d=1 t=24716
xing xiang 	形象	c=3 d=1 t=14796
xing xing 	醒醒	c=1 d=0.427915 t=27047
xing yun 	幸运	c=0 d=0.1 t=23046
xing zhe 	醒着	c=1 d=1 t=23500
xing zhi 	性质	c=1 d=1 t=23581
xiong 	凶	c=2 d=1.02652 t=6947
xiong 	胸	c=1 d=1 t=2636
xiong di jie mei 	兄弟姐妹	c=1 d=1 t=22849
xu 	虚	c=2 d=1 t=18767
xu 	需	c=1 d=1 t=26709
xu ni 	虚拟	c=1 d=1.03848 t=12228
xu ni ji 	虚拟机	c=1 d=1 t=5059
xu ni zhang hao 	虚拟帐号	c=1 d=1 t=12038
xu rong xin 	虚荣心	c=1 d=1 t=1174
xu yao 	需要	c=49 d=1.7535 t=31847
xu yao de 	需要的	c=2 d=1 t=11022
xu yao de shi 	需要的是	c=3 d=1 t=25163
xu yao dian ren 	需要点人	c=1 d=1 t=11163
xuan 	选	c=3 d=1 t=27326
xuan chuan 	宣传	c=2 d=2.00338 t=28096
xuan ju 	选举	c=1 d=1 t=19515
xuan mei 	选美	c=1 d=1 t=28867
xuan yi ge 	选一个	c=1 d=1 t=8551
xuan ze 	选择	c=25 d=1.89288 t=31944
xuan ze wo 	选择我	c=2 d=1 t=18120
xuan ze ya 	选择呀	c=1 d=1 t=25180
xue 	学	c=12 d=0.1 t=30084
xue 	血	c=2 d=1.00002 t=13379
xue dao 	学到	c=0 d=0.1 t=5218
xue dao le 	学到了	c=1 d=1 t=5219
xue de 	血的	c=1 d=1 t=10637
xue dian 	学点	c=2 d=1.09117 t=5043
xue he 	血和	c=1 d=1 t=23266
xue hui 	学会	c=10 d=1 t=27746
xue lai de 	学来的	c=1 d=1 t=4446
xue le 	学了	c=2 d=1 t=15529
xue li 	学历	c=1 d=1 t=10473
xue shang jia shuang 	雪上加霜	c=1 d=1 t=19320
xue shen 	学神	c=1 d=1 t=3197
xue shen me 	学什么	c=2 d=1 t=10404
xue sheng 	学生	c=2 d=1.09999 t=17516
xue shu 	学术	c=1 d=1 t=9966
xue xi 	学习	c=9 d=1 t=22972
xue xi de 	学习的	c=1 d=1 t=2879
xue xi le 	学习了	c=2 d=1.00034 t=10235
xue xia qu 	学下去	c=1 d=1 t=7100
xue xiao 	学校	c=1 d=0.100105 t=23123
xue xiao li mian 	学校里面	c=1 d=1 t=23124
xue xue 	学学	c=2 d=1 t=26863
xue ya 	学呀	c=1 d=1 t=19596
xue ye 	学业	c=1 d=1 t=14816
xue yu 	血雨	c=1 d=1 t=16865
xue yuan 	血缘	c=1 d=1 t=20078
xun lian 	训练	c=1 d=1 t=11409
ya 	呀	c=144 d=0.814647 t=32367
ya 	鸭	c=1 d=1 t=17149
ya gen 	压根	c=7 d=1.74383 t=28004
ya gen jiu 	压根就	c=1 d=1 t=1502
ya li 	压力	c=7 d=1 t=25329
ya li da 	压力大	c=1 d=1 t=1522
ya po 	压迫	c=0 d=0.1 t=23821
ya yi 	压抑	c=2 d=0.10071 t=16235
ya you xi 	呀游戏	c=1 d=1 t=1778
yan 	盐	c=1 d=1 t=21204
yan 	言	c=1 d=1 t=19278
yan chang 	延长	c=1 d=1 t=24224
yan gai 	掩盖	c=1 d=1 t=27537
yan guang 	眼光	c=0 d=0.1 t=10799
yan jing 	眼睛	c=0 d=0.1 t=22539
yan jiu 	研究	c=1 d=1 t=23618
yan li 	眼里	c=9 d=1 t=29349
yan qian 	眼前	c=1 d=1 t=2941
yan se 	颜色	c=1 d=1 t=29485
yan si 	淹死	c=1 d=1 t=17078
yan su 	严肃	c=1 d=1 t=19215
yan xiao yun san 	烟消云散	c=1 d=1 t=20247
yan xu 	延续	c=2 d=1 t=31765
yan yan 	炎炎	c=1 d=1 t=8193
yan zheng 	验证	c=1 d=1 t=12230
yan zhong 	严重	c=3 d=1.70822 t=30981
yan zhong de 	严重的	c=1 d=1 t=27337
yan zhong le 	严重了	c=1 d=1 t=28286
yang 	养	c=6 d=0.124478 t=29703
yang bu liao 	养不了	c=1 d=1 t=24206
yang bu qi 	养不起	c=5 d=1 t=28563
yang de 	养的	c=0 d=0.1 t=29703
yang hai zi 	养孩子	c=2 d=1 t=12806
yang huo 	养活	c=1 d=1 t=24211
yang lao 	养老	c=4 d=1 t=29085
yang le 	养了	c=1 d=1 t=18694
yang ni 	养你	c=2 d=1.00577 t=10718
yang wo 	养我	c=2 d=1 t=31212
yang zi 	样子	c=4 d=1 t=17834
yao 	腰	c=2 d=1 t=22744
yao 	药	c=3 d=1 t=24895
yao 	要	c=155 d=1.54019 t=32242
yao bu 	要不	c=2 d=1.89583 t=26295
yao bu shi 	要不是	c=3 d=0.1 t=28921
yao bu yao 	要不要	c=2 d=1 t=26343
yao dai lai 	要带来	c=1 d=1 t=1433
yao de 	要得	c=0 d=0.1 t=3317
yao de shi 	要得是	c=1 d=1 t=3318
yao dian 	要点	c=2 d=1 t=22461
yao gen wo shuo 	要跟我说	c=1 d=1 t=2059
yao guo 	要过	c=1 d=1 t=6760
yao kai 	要开	c=1 d=1 t=29673
yao kan kan 	要看看	c=1 d=1 t=21190
yao kao 	要靠	c=1 d=1 t=4237
yao lai 	要来	c=0 d=0.1 t=5003
yao me 	要么	c=12 d=1.97604 t=19158
yao me shi 	要么是	c=1 d=1 t=18303
yao ming 	要命	c=4 d=1 t=28446
yao qian 	要钱	c=3 d=1.20077 t=28442
yao qing chu 	要清楚	c=1 d=1 t=22526
yao qiu 	要求	c=10 d=2.59915 t=31593
yao qiu ni 	要求你	c=1 d=1 t=1589
yao qu 	要去	c=5 d=1 t=31835
yao qu zuo 	要去做	c=1 d=1 t=7006
yao ren 	要认	c=1 d=1 t=11445
yao ru he 	要如何	c=1 d=1 t=20659
yao shen me 	要什么	c=2 d=1 t=5834
yao shi 	要是	c=24 d=1 t=31911
yao shuo 	要说	c=2 d=1.00035 t=28779
yao si 	要死	c=2 d=0.1 t=20375
yao teng 	腰疼	c=2 d=1.00905 t=16804
yao wo 	要我	c=5 d=0.1 t=31128
yao wo huan 	要我还	c=1 d=1 t=31129
yao wo ming 	要我命	c=1 d=1 t=22731
yao xue 	要学	c=1 d=1 t=5180
yao ya qie chi 	咬牙切齿	c=1 d=1 t=7099
yao yong 	要用	c=0 d=0.1 t=1867
yao yong de 	要用的	c=1 d=1 t=1868
yao you 	要有	c=4 d=1.00004 t=17191
yao zhe 	夭折	c=1 d=1 t=11803
yao zou le 	要走了	c=1 d=1 t=25367
yao zuo 	要做	c=2 d=1 t=27744
yao zuo ge 	要做个	c=1 d=1 t=26802
yao zuo shen me 	要做什么	c=1 d=1 t=3040
ye 	业	c=1 d=1 t=6891
ye 	也	c=108 d=0.891366 t=32367
ye 	耶	c=1 d=1 t=30404
ye 	野	c=2 d=1 t=27293
ye 	页	c=2 d=0.94347 t=32367
ye ban 	夜班	c=0 d=0.1 t=22642
ye bei shou 	也备受	c=1 d=1 t=5264
ye bu 	也不	c=11 d=1.00022 t=32244
ye bu cuo 	也不错	c=2 d=1 t=28910
ye bu da suan 	也不打算	c=1 d=1 t=27630
ye bu dong 	也不懂	c=1 d=1 t=7886
ye bu gei 	也不给	c=1 d=1 t=8369
ye bu guan 	也不管	c=1 d=1 t=7937
ye bu hao 	也不好	c=1 d=1 t=24841
ye bu hao shuo 	也不好说	c=1 d=1 t=3569
ye bu hui 	也不会	c=7 d=1 t=25578
ye bu jie shou 	也不接受	c=1 d=1 t=6458
ye bu ke neng 	也不可能	c=0 d=0.1 t=4721
ye bu nan 	也不难	c=1 d=1 t=27849
ye bu shi 	也不是	c=17 d=1.00001 t=31312
ye bu shi ni de 	也不是你的	c=1 d=1 t=2204
ye bu shi wo 	也不是我	c=2 d=1.97045 t=24759
ye bu shu 	也不输	c=1 d=1 t=23446
ye bu tai 	也不太	c=1 d=1 t=22774
ye bu tai hao 	也不太好	c=1 d=1 t=466
ye bu xi huan 	也不喜欢	c=1 d=1 t=25343
ye bu xu yao 	也不需要	c=2 d=1 t=32290
ye bu yao 	也不要	c=3 d=1.87419 t=32325
ye bu yao lai 	也不要来	c=1 d=1 t=5004
ye bu yong 	也不用	c=1 d=1 t=3223
ye bu zhi dao 	也不知道	c=5 d=1.55919 t=23438
ye dui 	也对	c=2 d=1.00159 t=6566
ye duo 	也多	c=1 d=1 t=4064
ye guo de 	也过得	c=1 d=1 t=26746
ye hai 	也还	c=0 d=0.1 t=15273
ye hai mei you 	也还没有	c=1 d=1 t=15274
ye hao 	也好	c=2 d=1.00001 t=22841
ye hen 	也很	c=3 d=1.00004 t=19861
ye hui 	也会	c=8 d=1.00003 t=22038
ye jiu 	也就	c=9 d=1 t=28933
ye jiu shi 	也就是	c=3 d=1 t=24731
ye jue de 	也觉得	c=1 d=1 t=6286
ye ke yi 	也可以	c=6 d=1.00001 t=28138
ye mei 	也没	c=10 d=0.1 t=27572
ye mei ge 	也没个	c=1 d=1 t=888
ye mei gei 	也没给	c=1 d=1 t=9464
ye mei ren 	也没人	c=2 d=1 t=24842
ye mei shao 	也没少	c=1 d=1 t=27573
ye mei shen me 	也没什么	c=2 d=1 t=11906
ye mei xiang 	也没想	c=1 d=1 t=8319
ye mian 	页面	c=1 d=1 t=22637
ye rang wo 	也让我	c=1 d=1 t=15537
ye shi 	也是	c=47 d=1.92449 t=31927
ye shi ge 	也是个	c=2 d=1 t=27460
ye shi yao 	也是要	c=1 d=1 t=27523
ye su 	耶稣	c=2 d=1.24051 t=13133
ye suan 	也算	c=1 d=1 t=12469
ye ting 	也挺	c=1 d=0.1 t=24415
ye ting hao 	也挺好	c=1 d=1 t=24416
ye wan 	夜晚	c=1 d=0.70822 t=32367
ye wu 	业务	c=3 d=1 t=27866
ye xin 	野心	c=2 d=1 t=18412
ye xing 	也行	c=1 d=1 t=2495
ye yao 	也要	c=7 d=1 t=19200
ye you 	也有	c=6 d=1 t=30494
ye you le 	也有了	c=1 d=1 t=20167
ye zao jiu 	也早就	c=1 d=1 t=20249
ye zhe yang 	也这样	c=1 d=1 t=6607
ye zhen shi 	也真是	c=1 d=1 t=2103
ye zheng chang 	也正常	c=1 d=1 t=26148
ye zhi hui 	也只会	c=1 d=1 t=31805
ye zhi you 	也只有	c=1 d=1 t=374
yi 	一	c=12 d=0.14658 t=31532
yi 	义	c=1 d=1 t=2787
yi 	亿	c=1 d=1 t=27405
yi 	以	c=12 d=0.980199 t=32367
yi 	易	c=1 d=1 t=19223
yi 	移	c=1 d=1 t=19226
yi 	衣	c=0 d=0.1 t=10197
yi 	逸	c=0 d=0.1 t=28410
yi ba 	一把	c=2 d=1 t=22884
yi ban 	一半	c=1 d=1 t=27250
yi ban 	一般	c=2 d=1.00002 t=2549
yi ban ren 	一般人	c=3 d=1.44991 t=4756
yi bei zi 	一辈子	c=14 d=1 t=31016
yi bi 	一笔	c=2 d=0.1 t=31505
yi bi qian 	一笔钱	c=2 d=1 t=30353
yi bian 	一遍	c=4 d=1 t=27257
yi bo 	一波	c=1 d=1 t=20888
yi bu 	一部	c=1 d=1 t=19403
yi bu fen 	一部分	c=4 d=1 t=22947
yi chan 	遗产	c=2 d=1.5599 t=11276
yi chang 	一场	c=8 d=1 t=23366
yi chang du bo 	一场赌博	c=1 d=1 t=15972
yi chao 	一朝	c=1 d=1 t=16392
yi chu 	一出	c=1 d=1 t=16683
yi chu sheng 	一出生	c=3 d=1 t=25743
yi chuan 	一串	c=1 d=1 t=4104
yi ci 	一次	c=7 d=0.729789 t=32367
yi da ban 	一大半	c=1 d=1 t=4155
yi da li 	意大利	c=1 d=1 t=24323
yi dai 	一代	c=2 d=1 t=31242
yi dan 	一旦	c=4 d=1 t=23216
yi dian 	一点	c=26 d=0.100002 t=31743
yi ding 	一定	c=4 d=1 t=26251
yi ding de 	一定的	c=1 d=1 t=23144
yi ding shi 	一定是	c=2 d=1 t=13475
yi ding yao 	一定要	c=3 d=1 t=31532
yi ding yao hao 	一定要好	c=1 d=1 t=26244
yi du gong du 	以毒攻毒	c=1 d=1 t=23561
yi duan 	一段	c=5 d=1.00001 t=25080
yi duan shi jian 	一段时间	c=1 d=1 t=6055
yi dui 	一堆	c=3 d=1.07045 t=18141
yi dui ren 	一堆人	c=1 d=1 t=18142
yi dun 	一顿	c=2 d=0.1 t=30349
yi fan 	一番	c=2 d=1.99005 t=18613
yi fen 	一份	c=1 d=1 t=14350
yi fen qian 	一份钱	c=3 d=0.1 t=31469
yi fu 	衣服	c=1 d=1 t=13231
yi gan er jing 	一干二净	c=1 d=1 t=28048
yi ge 	一个	c=101 d=0.167994 t=32367
yi ge jia 	一个家	c=2 d=1 t=29011
yi ge quan zi 	一个圈子	c=1 d=1 t=4014
yi ge ren 	一个人	c=36 d=1.66034 t=31125
yi ge yue 	一个月	c=2 d=1 t=30050
yi gen 	一根	c=2 d=1 t=29629
yi gu 	一股	c=1 d=1 t=29925
yi han 	遗憾	c=2 d=1 t=25316
yi hang 	一行	c=1 d=1.09851 t=5935
yi hou 	以后	c=35 d=1.12658 t=31829
yi hui 	一回	c=3 d=1.06174 t=25869
yi hun 	已婚	c=2 d=1 t=21094
yi ji zhi chang 	一技之长	c=2 d=1.3027 t=23202
yi jia 	一家	c=4 d=0.221485 t=28968
yi jia ren 	一家人	c=1 d=1 t=28969
yi jian 	一件	c=15 d=1.05843 t=32304
yi jian 	意见	c=1 d=1 t=10031
yi jian shi 	一件事	c=4 d=1 t=30733
yi jian shi qing 	一件事情	c=4 d=1.99005 t=30622
yi jie 	一劫	c=2 d=0.1 t=27723
yi jing 	已经	c=23 d=1 t=29506
yi jing bu ji jiao 	已经不计较	c=1 d=1 t=20142
yi jing guo le 	已经过了	c=2 d=1 t=24786
yi jing rang 	已经让	c=1 d=1 t=20120
yi jing shi 	已经是	c=2 d=1.00004 t=21665
yi ju 	一句	c=2 d=1 t=25978
yi ju hua 	一句话	c=6 d=1 t=19622
yi jue bu zhen 	一蹶不振	c=1 d=1 t=10449
yi kai 	一开	c=0 d=0.1 t=5480
yi kai shi 	一开是	c=1 d=1 t=5481
yi ke yun 	易科云	c=2 d=1 t=21303
yi kou 	一口	c=1 d=1 t=28130
yi kuai 	一块	c=2 d=1 t=29490
yi lai 	依赖	c=1 d=1 t=18154
yi lei 	一类	c=1 d=1 t=18022
yi lei 	异类	c=1 d=1 t=13875
yi lei ren 	一类人	c=3 d=1 t=17791
yi lu 	一路	c=1 d=1 t=20146
yi lv 	一律	c=1 d=1 t=26445
yi mian 	一面	c=1 d=1 t=7309
yi min 	移民	c=2 d=1 t=29122
yi nian 	一年	c=5 d=1 t=14860
yi pi 	一批	c=0 d=0.1 t=3075
yi pi ren 	一批人	c=2 d=1.83527 t=3112
yi pian kong bai 	一片空白	c=1 d=1 t=20858
yi qi 	一起	c=17 d=1.72253 t=30996
yi qi 	遗弃	c=2 d=1 t=30530
yi qi xi 	一起洗	c=1 d=1 t=418
yi qian 	以前	c=53 d=0.694197 t=32367
yi qiang 	一腔	c=1 d=1 t=22953
yi qie 	一切	c=7 d=1 t=25959
yi qie zhi shang 	一切之上	c=1 d=1 t=1390
yi qing 	疫情	c=3 d=1.05813 t=32239
yi qing zhong 	疫情中	c=1 d=1 t=286
yi qun 	一群	c=8 d=1 t=30202
yi ran 	依然	c=2 d=1.02605 t=26471
yi ri 	一日	c=0 d=0.1 t=29266
yi shang 	以上	c=1 d=1 t=27251
yi shen 	一身	c=2 d=1 t=15800
yi sheng 	一生	c=15 d=1.0021 t=30544
yi sheng 	医生	c=2 d=1 t=24889
yi shi 	一世	c=2 d=1 t=28622
yi shi 	一时	c=1 d=1 t=28619
yi shi 	意识	c=1 d=1 t=18192
yi shi wu cheng 	一事无成	c=2 d=1.98511 t=5884
yi shu 	艺术	c=1 d=0.628135 t=32367
yi shuo 	一说	c=2 d=1 t=28447
yi si 	一死	c=5 d=1 t=16983
yi si 	意思	c=6 d=1 t=26462
yi suo 	一所	c=1 d=1 t=25752
yi tang 	一趟	c=1 d=1 t=27314
yi tao 	一套	c=1 d=0.1 t=27378
yi tian 	一天	c=4 d=0.1 t=30299
yi tian tian 	一天天	c=0 d=0.1 t=19341
yi tian tian de 	一天天的	c=1 d=1 t=19342
yi tiao 	一条	c=5 d=1.02387 t=18057
yi wai 	以外	c=6 d=1 t=31075
yi wai 	意外	c=6 d=1.00069 t=25584
yi wan 	一晚	c=0 d=0.1 t=19379
yi wan shang 	一晚上	c=1 d=1 t=19380
yi wei 	一位	c=1 d=1 t=17425
yi wei 	以为	c=6 d=1.01105 t=14523
yi wen 	译文	c=1 d=1 t=10212
yi wo de 	以我的	c=1 d=1 t=26012
yi wu 	义务	c=2 d=1 t=19982
yi wu fan gu 	义无反顾	c=2 d=1 t=31919
yi wu suo you 	一无所有	c=7 d=1 t=29032
yi wu suo you de ren 	一无所有的人	c=1 d=1 t=13661
yi wu suo zhi 	一无所知	c=2 d=1 t=28051
yi xia 	一下	c=12 d=1.00001 t=31303
yi xia zi 	一下子	c=2 d=1 t=11568
yi xian 	一线	c=1 d=1 t=20805
yi xiang 	一项	c=1 d=1 t=15530
yi xiang qing yuan 	一厢情愿	c=1 d=1 t=1083
yi xiang tian kai 	异想天开	c=1 d=1 t=10355
yi xiao duan 	一小段	c=1 d=1 t=6767
yi xie 	一些	c=9 d=1.00149 t=23249
yi xin 	一心	c=0 d=0.1 t=6213
yi yan 	遗言	c=1 d=1 t=27682
yi yang 	一样	c=32 d=1.07076 t=32138
yi yang de 	一样的	c=2 d=1 t=31238
yi yang de ren 	一样的人	c=1 d=1 t=23078
yi ye 	一夜	c=1 d=1 t=7707
yi yi 	意义	c=11 d=1.51685 t=32218
yi yong 	一用	c=3 d=1.99005 t=30000
yi yu 	抑郁	c=3 d=1 t=25666
yi yuan 	一元	c=6 d=1.00005 t=12238
yi yuan 	医院	c=6 d=1.0303 t=31804
yi yuan ji chang 	一元机场	c=5 d=1 t=27355
yi yuan le 	医院了	c=1 d=1 t=16737
yi zhang 	一张	c=1 d=1 t=7614
yi zhi 	一直	c=31 d=1.95275 t=30668
yi zhi 	遗址	c=1 d=0.965605 t=32367
yi zhi dou shi 	一直都是	c=1 d=1 t=24000
yi zhi du xiu 	一枝独秀	c=0 d=0.1 t=10562
yi zhi du xiu le ba 	一枝独秀了吧	c=1 d=1 t=10563
yi zhi hua 	一枝花	c=2 d=1.65377 t=18406
yi zhi shou 	一只手	c=1 d=1 t=14583
yi zhong 	一种	c=17 d=0.615697 t=32367
yi zou 	一走	c=2 d=1 t=30944
yi zui kuai 	以最快	c=1 d=1 t=652
yi zuo 	一座	c=1 d=1 t=13666
yin 	引	c=3 d=1.00051 t=14269
yin cang 	隐藏	c=1 d=1 t=262
yin dao 	引导	c=1 d=1 t=15682
yin hang 	银行	c=2 d=1 t=31340
yin hang ka 	银行卡	c=4 d=1.75844 t=26503
yin he 	银河	c=3 d=1.00077 t=27357
yin huan 	隐患	c=1 d=0.100001 t=3413
yin ren 	隐忍	c=0 d=0.1 t=4018
yin shi 	饮食	c=6 d=1.00402 t=22657
yin si 	隐私	c=2 d=1.00303 t=9411
yin tai 	印太	c=1 d=1 t=28877
yin wei 	因为	c=98 d=0.971473 t=32367
yin wei wo 	因为我	c=1 d=1 t=32229
yin xiang 	印象	c=3 d=1.00002 t=18656
yin ying 	阴影	c=0 d=0.1 t=15446
ying 	硬	c=2 d=1 t=10110
ying fa 	英法	c=1 d=1 t=9947
ying fu 	应付	c=1 d=1 t=10053
ying gai 	应该	c=15 d=1 t=28683
ying gai shi 	应该是	c=1 d=1 t=19210
ying gang 	硬刚	c=1 d=1 t=8059
ying jia 	赢家	c=1 d=1 t=23700
ying lai 	迎来	c=1 d=1 t=906
ying wen 	英文	c=5 d=1.99079 t=10114
ying xiang 	影响	c=15 d=1 t=29190
ying yang 	营养	c=1 d=1 t=19349
ying yong 	应用	c=3 d=1 t=32367
yong 	用	c=25 d=1.78996 t=32367
yong bu shang 	用不上	c=1 d=1 t=32337
yong chu 	用处	c=1 d=1 t=12486
yong de 	用的	c=4 d=1 t=28809
yong gan 	勇敢	c=1 d=1 t=6146
yong hao 	用好	c=1 d=1 t=7200
yong heng 	永恒	c=1 d=0.985112 t=32367
yong hu 	用户	c=1 d=1 t=8615
yong hu ming 	用户名	c=1 d=1 t=22701
yong jin 	佣金	c=4 d=3.87365 t=10186
yong lai 	用来	c=1 d=1 t=27536
yong qi 	勇气	c=4 d=1 t=17187
yong shang le 	用上了	c=1 d=1 t=7189
yong shen me 	用什么	c=2 d=1 t=30121
yong wo 	用我	c=1 d=1 t=24272
yong yi xia 	用一下	c=2 d=1.00232 t=29968
yong yi xie 	用一些	c=2 d=1.9802 t=3494
yong you 	拥有	c=7 d=1 t=26497
yong you de 	拥有的	c=1 d=1 t=20687
yong you le 	拥有了	c=1 d=1.03239 t=20620
yong you le yi ge 	拥有了一个	c=1 d=1 t=20621
yong you yi qie 	拥有一切	c=1 d=1 t=7718
yong yuan 	永远	c=4 d=1 t=18169
yong yuan jiu shi 	永远就是	c=1 d=1 t=9139
you 	又	c=60 d=1.93354 t=31999
you 	有	c=133 d=0.961163 t=32367
you 	油	c=1 d=1 t=18937
you ben shi 	有本事	c=1 d=1 t=7911
you bian 	右边	c=1 d=1 t=29414
you bian 	有变	c=2 d=1.00482 t=6521
you bing 	有病	c=3 d=1.88692 t=30189
you bing ba 	有病吧	c=1 d=1 t=27968
you bu 	又不	c=1 d=1 t=27797
you bu bao hu wo 	又不保护我	c=1 d=1 t=4210
you bu neng 	又不能	c=2 d=1 t=29017
you bu shi 	又不是	c=4 d=1 t=30857
you chuang zao xing 	有创造性	c=1 d=1 t=1894
you cuo 	有错	c=1 d=1 t=4803
you da suan 	有打算	c=1 d=1 t=11754
you de 	有得	c=3 d=1 t=22724
you de 	有的	c=6 d=1 t=22801
you de ren 	有的人	c=3 d=1 t=29812
you de shi 	有的是	c=1 d=1 t=31559
you deng 	油灯	c=1 d=0.960789 t=32367
you dian 	有点	c=25 d=1.85229 t=29092
you dian ka 	有点卡	c=1 d=1 t=20938
you dian nan 	有点难	c=1 d=1 t=2743
you du 	有毒	c=3 d=1 t=18872
you duan 	有断	c=1 d=1 t=5708
you duan shi jian 	有段时间	c=1 d=1 t=5597
you duo 	有多	c=5 d=1.72615 t=23360
you duo gao 	有多高	c=2 d=1 t=25607
you duo yuan 	有多远	c=2 d=1 t=20060
you gan 	有感	c=0 d=0.1 t=6252
you gan qing 	有感请	c=1 d=1 t=6253
you ge 	有个	c=4 d=0.1 t=29262
you ge ren 	有个人	c=1 d=1 t=29263
you guan xi 	有关系	c=1 d=1 t=30483
you hai zi 	有孩子	c=1 d=1 t=6159
you hen da 	有很大	c=1 d=1 t=19261
you hen duo 	有很多	c=1 d=1 t=21902
you hen duo ren 	有很多人	c=1 d=1 t=15088
you hua 	优化	c=3 d=1 t=9979
you huai ren 	有坏人	c=1 d=1 t=23081
you hui 	优惠	c=0 d=0.1 t=29617
you hui yi dian 	优惠一点	c=1 d=1 t=29618
you huo 	诱惑	c=2 d=1 t=23231
you ji 	有机	c=0 d=0.1 t=12941
you ji ge 	有几个	c=1 d=1 t=9362
you ji hui 	有机会	c=4 d=1.00001 t=29114
you ju hua 	有句话	c=1 d=1 t=5915
you jun dui 	有军队	c=1 d=1 t=26678
you ke neng 	有可能	c=1 d=1 t=29685
you keng 	有坑	c=1 d=1 t=13801
you kong 	有空	c=5 d=1 t=28005
you kou qi 	有口气	c=1 d=1 t=9289
you lai 	又来	c=1 d=1 t=18524
you le 	有了	c=3 d=1 t=23217
you le ke tu 	有了可图	c=1 d=1 t=8337
you li 	有利	c=2 d=1 t=30769
you mei you 	有没有	c=8 d=1.00693 t=30236
you na me 	有那么	c=1 d=1 t=25079
you neng li 	有能力	c=1 d=1 t=7985
you ni 	油腻	c=1 d=1 t=18935
you qian 	有钱	c=25 d=1.00067 t=32292
you qian de 	有钱的	c=1 d=1 t=28645
you qian le 	有钱了	c=2 d=1.96079 t=9548
you qian ma 	有钱吗	c=1 d=1 t=20872
you qian ren 	有钱人	c=5 d=1.09496 t=22600
you qu 	有趣	c=1 d=1 t=18686
you ran 	悠然	c=1 d=0.759572 t=32367
you ren 	有人	c=12 d=1.98021 t=30523
you shen 	有什	c=1 d=1 t=23590
you shen me 	有什么	c=30 d=1.016 t=30947
you sheng 	有生	c=1 d=1 t=19937
you shi 	优势	c=4 d=0.650509 t=32367
you shi 	又是	c=1 d=1 t=3884
you shi 	有事	c=2 d=1 t=14942
you shi hou 	有时候	c=17 d=1.00001 t=25193
you shi jian 	有时间	c=1 d=1 t=22863
you shui 	有谁	c=2 d=1 t=26997
you shui 	油水	c=1 d=1 t=27410
you suo 	有所	c=0 d=0.1 t=1069
you suo ji tuo 	有所寄托	c=1 d=1 t=1070
you tian fu 	有天赋	c=1 d=1 t=2244
you tu biao e 	有图标饿	c=2 d=1 t=28663
you wen hua 	有文化	c=1 d=1 t=21450
